pagenation	region	hpatitisc-incidence	heptitisc-ir	heptitisc-death	heptitisc-dr	heptitisb-incidence	heptitisb-death	heptitisb-ir	heptitisb-dr	hepatitise-incidence	hepatitise-death	hepatitise-ir	hepatitise-dr	hepatitisa-incidence	hepatitisa-death	hepatitisa-ir	hepatitisa-dr	hepatitis-incidence	hepatitis-death	hepatitis-ir	hepatitis-dr	hepatitisun-incidence	hepatitisun-death	hepatitisun-ir	hepatitisun-dr
2012-10	黑龙江省	478	1.2467	2	0.0052	1084	2	2.8273	0.0052	50	0	0.1304		18	0	0.0469		1716	4	4.4757	0.0104	86	0	0.2243	
2012-10	天津市	32	0.2362	0		151	0	1.1147		8	0	0.0591		3	0	0.0221		200	0	1.4765		6	0	0.0443	
2005-03	甘肃省	256	0.9928	0		4726	1	18.3286	0.0039	8	0	0.031		400	0	1.5513		5468	1	21.2063	0.0039	78	0	0.3025	
2007-03	湖北省	307	0.5393	1	0.0018	6655	7	11.6898	0.0123	225	1	0.3952	0.0018	289	0	0.5076		7914	9	13.9013	0.0158	438	0	0.7694	
2011-02	云南省	409	0.8898	0		1531	2	3.3307	0.0044	35	0	0.0761		93	1	0.2023	0.0022	2093	3	4.5533	0.0065	25	0	0.0544	
2008-12	安徽省	104	0.17	0		1981	3	3.238	0.0049	53	0	0.0866		62	0	0.1013		2329	3	3.8068	0.0049	129	0	0.2109	
2004-04	黑龙江	327	0.8717	0		2730	1	7.2777	0.0027	76	0	0.2026		171	0	0.4559		3559	4	9.4876	0.0107	255	3	0.6798	0.008
2013-01	甘肃省	949	3.6818	1	0.0039	1561	0	6.0561		15	0	0.0582		73	0	0.2832		2638	1	10.2345	0.0039	40	0	0.1552	
2016-11	山东省	372	0.38	0		4498	0	4.5948		82	0	0.0838		30	0	0.0306		5052	0	5.1607		68	0	0.0695	
2016-08	云南省	908	1.9262	0		1258	0	2.6687		125	0	0.2652		71	0	0.1506		2371	0	5.0298		6	0	0.0127	
2007-01	西    藏	2	0.0712	0		38	0	1.3524						25	0	0.8897		70	0	2.4912		5	0	0.1779	
2016-01	陕西省	705	1.8675	0		2070	0	5.4833		24	0	0.0636		20	0	0.053		2840	0	7.5229		19	0	0.0503	
2010-04	全    国	13621	1.0205	12	0.0009	92059	57	6.8971	0.0043	2567	4	0.1923	0.0003	2898	1	0.2171	0.0001	115159	78	8.6278	0.0058	4014	4	0.3007	0.0003
2006-02	浙江省	89	0.1817	0		3289	1	6.715	0.002	280	0	0.5717		158	0	0.3226		4268	1	8.7138	0.002	452	0	0.9228	
2012-04	甘肃省	798	3.1121	0		3244	0	12.6512		13	0	0.0507		167	0	0.6513		4301	0	16.7733		79	0	0.3081	
2009-10	江苏省	126	0.1641	1	0.0013	1082	1	1.4094	0.0013	155	1	0.2019	0.0013	86	0	0.112		1763	3	2.2964	0.0039	314	0	0.409	
2010-11	山东省	144	0.1521	0		2125	4	2.2439	0.0042	95	0	0.1003		23	0	0.0243		2535	4	2.6768	0.0042	148	0	0.1563	
2008-09	陕西省	281	0.7497	0		2566	0	6.8463		13	0	0.0347		149	0	0.3975		3123	0	8.3324		114	0	0.3042	
2008-05	甘肃省	516	1.9717	1	0.0038	5527	0	21.1195		11	0	0.042		280	0	1.0699		6413	1	24.5051	0.0038	79	0	0.3019	
2005-06	江苏省	123	0.1649	0		1640	1	2.1988	0.0013	147	0	0.1971		184	0	0.2467		2617	1	3.5087	0.0013	523	0	0.7012	
2010-04	宁    夏	29	0.4638	0		472	0	7.5495		3	0	0.048		39	0	0.6238		546	0	8.7332		3	0	0.048	
2013-03	安徽省	453	0.7565	0		3379	1	5.643	0.0017	266	0	0.4442		75	0	0.1253		4424	1	7.3881	0.0017	251	0	0.4192	
2014-10	江苏省	229	0.2884	0		931	0	1.1726		187	0	0.2355		64	0	0.0806		1644	0	2.0707		233	0	0.2935	
2009-10	云南省	423	0.9311	0		1682	1	3.7024	0.0022	24	0	0.0528		261	1	0.5745	0.0022	2423	2	5.3335	0.0044	33	0	0.0726	
2012-01	浙江省	380	0.6956	0		4330	0	7.926		392	0	0.7176		74	0	0.1355		5434	0	9.9469		258	0	0.4723	
2015-12	辽宁省	717	1.6329	0		1583	1	3.6051	0.0023	111	1	0.2528	0.0023	62	0	0.1412		2570	2	5.8529	0.0046	97	0	0.2209	
2006-11	湖南省	130	0.2055	0		2215	3	3.5014	0.0047	15	0	0.0237		153	1	0.2419	0.0016	2633	4	4.1622	0.0063	120	0	0.1897	
2010-07	西    藏	2	0.069	0		54	0	1.8619						6	0	0.2069		62	0	2.1378					
2008-09	贵州省	168	0.4466	1	0.0027	2704	1	7.1877	0.0027	6	0	0.0159		346	0	0.9197		3349	3	8.9022	0.008	125	1	0.3323	0.0027
2007-04	天津市	79	0.7349	0		691	1	6.4279	0.0093	37	0	0.3442		6	0	0.0558		852	2	7.9256	0.0186	39	1	0.3628	0.0093
2010-01	宁    夏	43	0.6878	0		581	0	9.293		5	0	0.08		56	0	0.8957		691	0	11.0524		6	0	0.096	
2013-09	广    西	725	1.5485	0		3170	1	6.7706	0.0021	79	0	0.1687		51	0	0.1089		4214	1	9.0004	0.0021	189	0	0.4037	
2010-09	西    藏	1	0.0345	0		58	0	1.9999						9	0	0.3103		70	0	2.4136		2	0	0.069	
2004-10	河北省	101	0.1486	0		3528	2	5.189	0.0029	55	0	0.0809		122	0	0.1794		4030	2	5.9273	0.0029	224	0	0.3295	
2011-07	新疆	854	3.9146	0		4007	1	18.3674	0.0046	36	0	0.165		184	0	0.8434		5134	1	23.5334	0.0046	53	0	0.2429	
2004-09	天津市	28	0.3013	0		288	0	3.0992		44	0	0.4735		13	0	0.1399		466	0	5.0147		93	0	1.0008	
2006-08	北京市	128	0.8322	2	0.013	786	6	5.1105	0.039	44	0	0.2861		33	0	0.2146		1045	8	6.7945	0.052	54	0	0.3511	
2007-01	建设兵团	66	2.5587	0		297	1	11.5141	0.0388	1	0	0.0388		20	0	0.7754		395	1	15.3134	0.0388	11	0	0.4264	
2011-07	福建省	172	0.4662	0		3497	1	9.4784	0.0027	76	0	0.206		60	0	0.1626		4273	1	11.5817	0.0027	468	0	1.2685	
2010-09	湖北省	396	0.6923	0		5254	7	9.1853	0.0122	122	0	0.2133		87	0	0.1521		6081	8	10.6311	0.014	222	1	0.3881	0.0017
2009-03	北京市	165	0.9735	1	0.0059	398	9	2.3481	0.0531	54	0	0.3186		18	0	0.1062		661	10	3.8997	0.059	26	0	0.1534	
2004-10	北京市	55	0.3713	1	0.0068	424	1	2.8622	0.0068	30	0	0.2025		35	0	0.2363		638	2	4.3067	0.0135	94	0	0.6345	
2004-07	甘肃省	244	0.9335	0		4165	1	15.9342	0.0038	4	0	0.0153		563	0	2.1539		5056	1	19.3429	0.0038	80	0	0.3061	
2004-10	宁夏	13	0.2226	0		760	1	13.0148	0.0171	2	0	0.0342		146	0	2.5002		956	1	16.3712	0.0171	35	0	0.5994	
2005-10	安徽省	57	0.0937	0		2211	2	3.6351	0.0033	27	0	0.0444		132	0	0.217		2597	2	4.2698	0.0033	170	0	0.2795	
2012-05	江苏省	215	0.2722	0		1080	0	1.3673		270	2	0.3418	0.0025	62	0	0.0785		1856	2	2.3497	0.0025	229	0	0.2899	
2016-05	北京市	78	0.3625	1	0.0046	137	7	0.6367	0.0325	19	0	0.0883		13	0	0.0604		250	8	1.1619	0.0372	3	0	0.0139	
2011-04	上海市	22	0.0956	0		455	1	1.9766	0.0043	77	0	0.3345		22	0	0.0956		607	1	2.6369	0.0043	31	0	0.1347	
2010-05	黑龙江省	453	1.184	0		1333	1	3.4841	0.0026	42	0	0.1098		11	0	0.0288		1942	2	5.0758	0.0052	103	1	0.2692	0.0026
2006-01	新    疆	226	1.1244	0		1991	2	9.9054	0.01	6	0	0.0299		373	0	1.8557		2708	3	13.4726	0.0149	112	1	0.5572	0.005
2010-12	宁    夏	45	0.7198	0		484	1	7.7415	0.016	5	0	0.08		20	0	0.3199		568	1	9.085	0.016	14	0	0.2239	
2005-08	西    藏					28	0	1.0215						11	0	0.4013		41	0	1.4958		2	0	0.073	
2008-07	山东省	102	0.1089	0		3075	3	3.2828	0.0032	42	0	0.0448		63	0	0.0673		3498	3	3.7344	0.0032	216	0	0.2306	
2013-01	浙江省	231	0.4218	0		1265	2	2.3097	0.0037	238	1	0.4345	0.0018	46	0	0.084		1914	3	3.4946	0.0055	134	0	0.2447	
2012-05	云南省	622	1.3431	0		2310	2	4.9881	0.0043	107	0	0.2311		154	0	0.3325		3219	2	6.951	0.0043	26	0	0.0561	
2016-04	新疆	981	4.2681	0		3236	0	14.0789		42	0	0.1827		137	0	0.596		4415	0	19.2084		17	0	0.074	
2013-12	浙江省	192	0.3506	0		1017	0	1.8569		138	0	0.252		27	0	0.0493		1487	0	2.715		113	0	0.2063	
2010-01	青海省	195	3.499	0		2226	0	39.9424		2	0	0.0359		48	0	0.8613		2485	0	44.5897		14	0	0.2512	
2009-09	河南省	1867	1.9801	4	0.0042	11200	8	11.8782	0.0085	25	0	0.0265		336	0	0.3563		13541	12	14.361	0.0127	113	0	0.1198	
2013-12	全    国	15176	1.1208	12	0.0009	70278	54	5.1902	0.004	2026	0	0.1496		1889	0	0.1395		91909	68	6.7878	0.005	2540	2	0.1876	0.0001
2011-03	建设兵团	134	5.2076	1	0.0389	308	0	11.9698		2	0	0.0777		6	0	0.2332		458	1	17.7992	0.0389	8	0	0.3109	
2004-05	青海省	27	0.5004	1	0.0185	813	3	15.0677	0.0556					83	0	1.5383		944	4	17.4956	0.0741	21	0	0.3892	
2007-05	河南省	1263	1.3448	1	0.0011	13293	2	14.1535	0.0021	34	0	0.0362		573	0	0.6101		15363	3	16.3575	0.0032	200	0	0.2129	
2005-03	山西省	222	0.6657	1	0.003	2701	1	8.0991	0.003	14	0	0.042		111	0	0.3328		3163	2	9.4845	0.006	115	0	0.3448	
2006-07	海南省	14	0.1691	0		598	0	7.2222						63	0	0.7609		708	0	8.5507		33	0	0.3986	
2008-09	甘肃省	457	1.7463	0		4486	0	17.1417		7	0	0.0267		491	0	1.8762		5518	1	21.0851	0.0038	77	1	0.2942	0.0038
2007-03	内蒙古	274	1.1431	0		2942	0	12.2736		17	0	0.0709		108	0	0.4506		3424	1	14.2845	0.0042	83	1	0.3463	0.0042
2007-03	浙江省	154	0.3092	0		3484	8	6.996	0.0161	288	0	0.5783		218	0	0.4378		4574	8	9.1847	0.0161	430	0	0.8635	
2015-12	四川省	812	0.9975	0		2918	1	3.5847	0.0012	111	0	0.1364		176	0	0.2162		4102	1	5.0392	0.0012	85	0	0.1044	
2006-04	河北省	149	0.2175	0		5050	2	7.3712	0.0029	113	0	0.1649		116	0	0.1693		5627	2	8.2134	0.0029	199	0	0.2905	
2010-06	广    西	825	1.6989	1	0.0021	3395	1	6.9913	0.0021	57	0	0.1174		151	0	0.311		4605	2	9.4831	0.0041	177	0	0.3645	
2015-07	福建省	246	0.6463	0		4192	0	11.0142		77	0	0.2023		42	0	0.1104		4784	0	12.5696		227	0	0.5964	
2005-02	河南省	362	0.388	0		6070	2	6.5052	0.0021	14	0	0.015		310	0	0.3322		6924	2	7.4204	0.0021	168	0	0.18	
2007-02	辽宁省	277	0.6486	0		1827	1	4.2777	0.0023	178	1	0.4168	0.0023	160	0	0.3746		2616	3	6.125	0.007	174	1	0.4074	0.0023
2015-03	西    藏	3	0.0945	0		255	0	8.0302		1	0	0.0315		37	0	1.1652		300	0	9.4473		4	0	0.126	
2010-04	海南省	79	0.9143	0		570	0	6.5967		1	0	0.0116		11	0	0.1273		715	0	8.2748		54	0	0.6249	
2006-09	福建省	43	0.1216	0		2892	2	8.1811	0.0057	27	0	0.0764		97	0	0.2744		3520	2	9.9576	0.0057	461	0	1.3041	
2015-09	黑龙江省	354	0.9236	1	0.0026	740	1	1.9306	0.0026	30	0	0.0783		14	0	0.0365		1203	2	3.1385	0.0052	65	0	0.1696	
2015-01	广    西	985	2.0719	2	0.0042	4785	2	10.0652	0.0042	172	0	0.3618		60	0	0.1262		6178	4	12.9954	0.0084	176	0	0.3702	
2016-06	贵州省	397	1.1317	0		1495	1	4.2617	0.0029	56	0	0.1596		24	0	0.0684		1988	1	5.667	0.0029	15	0	0.0428	
2014-07	宁    夏	56	0.856	0		389	0	5.9463		5	0	0.0764		16	0	0.2446		469	0	7.1692		3	0	0.0459	
2011-01	内蒙古	360	1.4571	0		2300	0	9.3094		8	0	0.0324		17	0	0.0688		2696	0	10.9122		11	0	0.0445	
2007-08	贵州省	133	0.354	1	0.0027	3149	3	8.3813	0.008	8	0	0.0213		1045	0	2.7813		4507	4	11.9957	0.0106	172	0	0.4578	
2006-05	河北省	173	0.2525	0		4792	0	6.9946		76	0	0.1109		149	0	0.2175		5386	0	7.8616		196	0	0.2861	
2008-09	云南省	289	0.6402	0		1647	0	3.6487		46	0	0.1019		407	0	0.9016		2450	1	5.4276	0.0022	61	1	0.1351	0.0022
2005-09	天津市	34	0.3264	0		436	0	4.1862		23	0	0.2208		5	0	0.048		564	0	5.4152		66	0	0.6337	
2005-04	甘肃省	246	0.954	0		4133	0	16.0288		7	0	0.0271		360	1	1.3962	0.0039	4832	1	18.7397	0.0039	86	0	0.3335	
2011-07	广    西	788	1.7121	3	0.0065	3615	3	7.8542	0.0065	76	0	0.1651		96	0	0.2086		4781	6	10.3875	0.013	206	0	0.4476	
2016-01	湖南省	1353	2.0082	0		5202	0	7.7213		118	0	0.1751		44	1	0.0653	0.0015	6844	1	10.1585	0.0015	125	0	0.1855	
