time	地 区	发病数	死亡数	发病率	死亡率
Mar-06	青海省	4	0	0.0737	
Apr-13	山东省	22	0	0.0227	
Mar-07	云南省	9	0	0.0201	
Jan-05	山西省	3	0	0.009	
Sep-05	宁夏	2	0	0.0339	
Mar-13	贵州省	2	0	0.0057	
Dec-14	贵州省	3	0	0.0086	
Jul-06	天津市	2	0	0.0192	
Mar-10	辽宁省	3	0	0.0069	
Sep-10	北京市	2	0	0.0114	
Jul-08	云南省	4	0	0.0089	
May-05	吉林省	5	0	0.0185	
Jul-11	海南省	2	0	0.0231	
Feb-06	山西省	4	0	0.0119	
May-12	新疆	85	0	0.3848	
Nov-05	山东省	9	0	0.0098	
Oct-07	河南省	9	0	0.0096	
Oct-12	天津市	7	0	0.0517	
Mar-12	河南省	6	0	0.0064	
Jan-05	海南省	1	0	0.0122	
Mar-07	青海省	2	0	0.0365	
Apr-15	贵州省	3	0	0.0086	
Feb-14	浙江省	1	0	0.0018	
Jan-08	河南省	3	0	0.0032	
May-04	宁夏	1	0	0.0171	
Aug-09	吉林省	1	0	0.0037	
Apr-12	贵州省	9	0	0.0259	
Apr-04	安徽省	24	0	0.0372	
Feb-14	陕西省	5	0	0.0133	
Sep-09	新疆	6	0	0.0282	
Jul-04	江苏省	8	0	0.0106	
Apr-13	云南省	2	0	0.0043	
May-04	山西省	12	0	0.0362	
Sep-15	河北省	29	0	0.0393	
Nov-06	全国	115	1	0.0088	0.0001
Jun-15	山西省	13	0	0.0356	
Oct-06	四川省	18	0	0.0219	
Jul-12	江苏省	13	0	0.0165	
Sep-04	陕西省	22	0	0.0601	
Sep-14	黑龙江省	5	0	0.013	
Oct-09	甘肃省	6	0	0.0228	
Apr-06	云南省	6	0	0.0135	
Feb-08	贵州省	10	0	0.0266	
Feb-14	天津市	3	0	0.0204	
Jun-04	广西	13	0	0.0268	
Aug-05	湖北省	10	0	0.0176	
Feb-09	甘肃省	2	0	0.0076	
Sep-15	宁夏	1	0	0.0151	
Sep-13	湖北省	2	0	0.0035	
Jan-10	天津市	1	0	0.0081	
Jun-06	吉林省	1	0	0.0037	
Oct-05	山东省	3	0	0.0033	
Aug-15	福建省	1	0	0.0026	
Sep-10	山西省	8	0	0.0233	
Sep-08	广东省	1	0	0.0011	
Jul-06	辽宁省	1	0	0.0024	
May-13	江苏省	6	0	0.0076	
Aug-04	甘肃省	32	0	0.1224	
Oct-14	安徽省	3	0	0.005	
May-12	北京市	2	0	0.0099	
Nov-15	山东省	66	0	0.0674	
Aug-06	云南省	8	0	0.018	
May-07	河南省	14	0	0.0149	
Oct-08	四川省	17	0	0.0209	
May-07	甘肃省	19	0	0.0729	
Jun-08	新疆	40	0	0.1909	
Nov-11	上海市	0	0		
Feb-05	河北省	39	0	0.0573	
Nov-07	广西	1	0	0.0021	
Aug-06	山东省	9	0	0.0097	
Jun-13	江西省	4	0	0.0089	
May-09	湖南省	6	0	0.0094	
Dec-11	山西省	1	0	0.0028	
Jul-04	宁夏	1	0	0.0171	
Oct-14	河北省	48	0	0.0655	
Jan-05	湖北省	3	0	0.0053	
May-14	北京市	8	0	0.0378	
Feb-04	江苏省	3	0	0.004	
Aug-09	四川省	29	0	0.0354	
Jul-13	黑龙江省	8	0	0.0209	
Apr-14	重庆市	17	0	0.0572	
May-04	云南省	13	0	0.0299	
Mar-12	北京市	2	0	0.0099	
Jul-05	吉林省	6	0	0.0221	
Jul-05	浙江省	10	0	0.0205	
Jul-06	北京市	1	0	0.0065	
Apr-10	山东省	24	0	0.0253	
Sep-08	湖南省	4	0	0.0063	
Dec-06	广东省	2	0	0.0022	
Jul-13	全国	267	0	0.0197	
Aug-13	广东省	3	0	0.0028	
Dec-15	河南省	9	0	0.0095	
Dec-15	全国	332	1	0.0244	0.0001
Nov-14	云南省	2	0	0.0043	
Nov-13	重庆市	1	0	0.0034	
Jul-04	福建省	10	0	0.0278	
Apr-06	全国	253	1	0.0193	0.0001
Nov-14	重庆市	7	0	0.0236	
Jun-07	湖南省	12	0	0.0189	
Sep-04	湖南省	7	0	0.0105	
Nov-10	全国	89	0	0.0067	
Jul-04	浙江省	1	0	0.0021	
Aug-05	安徽省	19	0	0.0312	
Apr-05	全国	421	0	0.0324	
Jan-05	安徽省	5	0	0.0082	
Oct-07	四川省	14	0	0.0171	
May-09	内蒙古	1	0	0.0041	
Jul-05	贵州省	20	0	0.054	
Apr-04	天津市	4	0	0.043	
Apr-11	黑龙江省	2	0	0.0052	
Feb-13	广东省	6	0	0.0057	
Jul-08	天津市	12	0	0.1076	
Jun-04	湖南省	7	0	0.0105	
Feb-11	四川省	42	0	0.0522	
Jan-05	浙江省	4	0	0.0082	
Nov-05	广东省	3	0	0.0033	
Dec-14	青海省	1	0	0.0173	
Jun-13	浙江省	1	0	0.0018	
Apr-04	宁夏	2	0	0.0342	
Nov-04	新疆	14	0	0.0753	
Feb-05	全国	248	1	0.0191	0.0001
Mar-12	湖南省	4	0	0.0061	
Feb-09	广东省	2	0	0.0021	
Nov-13	天津市	3	0	0.0212	
Sep-08	黑龙江省	1	0	0.0026	
Apr-11	四川省	31	0	0.0385	
Oct-07	新疆	48	0	0.2341	
Aug-07	黑龙江省	2	0	0.0052	
Apr-10	安徽省	3	0	0.0049	
May-15	山西省	9	0	0.0247	
Sep-13	四川省	11	0	0.0136	
Jun-05	福建省	7	0	0.0199	
Jul-04	江西省	28	0	0.0654	
May-09	湖北省	4	0	0.007	
Jul-09	吉林省	3	1	0.011	0.0037
Jun-15	河北省	25	0	0.0339	
Dec-09	山东省	4	0	0.0042	
Jul-13	江苏省	7	0	0.0088	
Nov-08	四川省	8	0	0.0098	
Jun-05	湖南省	29	0	0.0461	
Nov-10	山东省	7	0	0.0074	
Aug-15	江西省	2	0	0.0044	
Mar-15	天津市	33	0	0.2176	
May-14	安徽省	10	0	0.0166	
Oct-12	湖南省	2	0	0.003	
Jul-07	建设兵团	1	0	0.0388	
Jun-14	湖北省	3	0	0.0052	
Jun-04	内蒙古	2	0	0.0084	
Aug-06	四川省	49	0	0.0597	
Oct-08	新疆	9	0	0.043	
Sep-13	江苏省	1	0	0.0013	
Nov-05	云南省	9	0	0.0204	
May-14	重庆市	24	0	0.0808	
May-10	甘肃省	9	0	0.0341	
Mar-05	四川省	60	0	0.0733	
Feb-14	新疆	11	0	0.0486	
Aug-06	重庆市	9	0	0.0322	
Aug-11	北京市	2	0	0.0102	
Aug-06	黑龙江省	1	0	0.0026	
Dec-15	上海市	1	0	0.0041	
Dec-12	重庆市	2	0	0.0069	
Aug-14	天津市	35	0	0.2377	
Nov-07	云南省	4	0	0.0089	
Aug-14	湖南省	3	0	0.0045	
Aug-05	全国	429	0	0.033	
Sep-04	青海省	1	0	0.0185	
Apr-08	青海省	1	0	0.0181	
Apr-07	湖南省	6	0	0.0095	
Jul-10	湖南省	4	0	0.0062	
Jun-06	河北省	59	0	0.0861	
Oct-13	全国	119	0	0.0088	
Dec-06	福建省	3	0	0.0085	
Dec-11	江苏省	1	0	0.0013	
